;HR;BR;Posture;Activity
09:07:44.435;69;20.7;-19;0.01
09:07:45.435;69;20.7;-18;0.01
09:07:46.435;67;20.7;-18;0.01
09:07:47.435;68;20.7;-18;0.01
09:07:48.435;67;20.7;-18;0.01
09:07:49.435;67;20.8;-19;0.01
09:07:50.435;68;20.8;-18;0.01
09:07:51.435;69;20.8;-18;0.01
09:07:52.435;68;20.8;-18;0.01
09:07:53.435;70;20.8;-19;0.01
09:07:54.435;69;20.8;-18;0.01
09:07:55.435;68;20.5;-19;0.01
09:07:56.435;69;20.5;-18;0.01
09:07:57.435;70;20.6;-18;0.01
09:07:58.435;68;20.6;-18;0.01
09:07:59.435;71;20.6;-18;0.01
09:08:00.435;70;20.6;-18;0.01
09:08:01.435;69;20.3;-18;0.01
09:08:02.435;68;20.3;-18;0.01
09:08:03.435;68;20.4;-18;0.01
09:08:04.435;66;20.4;-18;0.01
09:08:05.435;67;20.2;-18;0.01
09:08:06.435;68;20.2;-18;0.01
09:08:07.435;66;20.0;-18;0.01
09:08:08.435;66;20.0;-18;0.01
09:08:09.435;67;20.1;-18;0.01
09:08:10.435;67;20.1;-18;0.01
09:08:11.435;68;19.9;-18;0.01
09:08:12.435;69;19.9;-18;0.01
09:08:13.435;68;19.7;-18;0.01
09:08:14.435;70;19.7;-18;0.01
09:08:15.435;70;19.8;-18;0.01
09:08:16.435;70;19.8;-18;0.01
09:08:17.435;71;19.9;-18;0.01
09:08:18.435;70;19.9;-18;0.01
09:08:19.435;67;19.7;-18;0.01
09:08:20.435;67;19.7;-18;0.01
09:08:21.435;65;19.9;-18;0.01
09:08:22.435;63;19.9;-18;0.01
09:08:23.435;66;20.0;-18;0.01
09:08:24.435;67;20.0;-18;0.01
09:08:25.435;66;20.1;-18;0.01
09:08:26.435;68;20.1;-18;0.01
09:08:27.435;68;20.2;-18;0.01
09:08:28.435;65;20.2;-18;0.01
09:08:29.435;64;20.2;-18;0.01
09:08:30.435;63;20.2;-18;0.01
09:08:31.435;61;20.3;-18;0.01
09:08:32.435;64;20.3;-18;0.01
09:08:33.435;65;20.4;-18;0.01
09:08:34.435;64;20.4;-18;0.01
09:08:35.435;68;20.4;-18;0.01
09:08:36.435;67;20.4;-18;0.01
09:08:37.435;68;20.2;-18;0.01
09:08:38.435;68;20.2;-18;0.01
09:08:39.435;68;20.3;-18;0.01
09:08:40.435;69;20.3;-18;0.01
09:08:41.435;68;20.3;-18;0.01
09:08:42.435;65;20.3;-18;0.01
09:08:43.435;67;20.4;-18;0.01
09:08:44.435;67;20.4;-18;0.01
09:08:45.435;67;20.5;-18;0.01
09:08:46.435;68;20.5;-18;0.01
09:08:47.435;67;20.5;-18;0.01
09:08:48.435;66;20.5;-18;0.01
09:08:49.435;69;20.6;-18;0.01
09:08:50.435;68;20.6;-18;0.01
09:08:51.435;67;20.6;-18;0.01
09:08:52.435;68;20.6;-18;0.01
09:08:53.435;68;20.6;-18;0.01
09:08:54.435;68;20.6;-18;0.01
09:08:55.435;69;20.7;-18;0.01
09:08:56.435;67;20.7;-18;0.01
09:08:57.435;68;20.7;-18;0.01
09:08:58.435;70;20.7;-18;0.01
09:08:59.435;68;20.7;-18;0.01
09:09:00.435;68;20.7;-18;0.01
09:09:01.435;68;20.7;-18;0.01
09:09:02.435;66;20.7;-18;0.01
09:09:03.435;66;20.5;-18;0.01
09:09:04.435;66;20.5;-18;0.01
09:09:05.435;65;20.5;-18;0.01
09:09:06.435;67;20.5;-18;0.01
09:09:07.435;67;20.6;-18;0.01
09:09:08.435;65;20.6;-18;0.01
09:09:09.435;66;20.6;-18;0.01
09:09:10.435;64;20.6;-18;0.01
09:09:11.435;63;20.6;-18;0.01
09:09:12.435;64;20.6;-18;0.01
09:09:13.435;64;20.7;-18;0.01
09:09:14.435;64;20.7;-18;0.01
09:09:15.435;66;20.4;-18;0.01
09:09:16.435;66;20.4;-18;0.01
09:09:17.435;65;20.5;-18;0.01
09:09:18.435;66;20.5;-18;0.01
09:09:19.435;66;20.5;-18;0.01
09:09:20.435;63;20.5;-18;0.01
09:09:21.435;63;20.3;-18;0.01
09:09:22.435;65;20.3;-18;0.01
09:09:23.435;65;20.3;-18;0.01
09:09:24.435;65;20.3;-18;0.01
09:09:25.435;66;20.4;-18;0.01
09:09:26.435;67;20.4;-18;0.01
09:09:27.435;67;20.2;-18;0.01
09:09:28.435;69;20.2;-18;0.01
09:09:29.435;69;20.0;-18;0.01
09:09:30.435;67;20.0;-18;0.01
09:09:31.435;68;19.8;-18;0.01
09:09:32.435;68;19.8;-18;0.01
09:09:33.435;66;19.6;-18;0.01
09:09:34.435;67;19.6;-18;0.01
09:09:35.435;66;19.7;-18;0.01
09:09:36.435;65;19.7;-18;0.01
09:09:37.435;68;19.6;-18;0.01
09:09:38.435;69;19.6;-18;0.01
09:09:39.435;68;19.4;-18;0.01
09:09:40.435;68;19.4;-18;0.01
09:09:41.435;69;19.3;-18;0.01
09:09:42.435;68;19.3;-18;0.01
09:09:43.435;65;19.2;-18;0.01
09:09:44.435;67;19.2;-18;0.01
09:09:45.435;67;19.0;-18;0.01
09:09:46.435;65;19.0;-18;0.01
09:09:47.435;65;18.9;-18;0.01
09:09:48.435;66;18.9;-18;0.01
09:09:49.435;65;18.9;-18;0.01
09:09:50.435;64;18.9;-18;0.01
09:09:51.435;66;18.8;-18;0.01
09:09:52.435;67;18.8;-18;0.01
09:09:53.435;65;18.7;-18;0.01
09:09:54.435;66;18.7;-18;0.01
09:09:55.435;67;18.6;-18;0.01
09:09:56.435;64;18.6;-18;0.01
09:09:57.435;63;18.6;-18;0.01
09:09:58.435;66;18.6;-18;0.01
09:09:59.435;65;18.5;-18;0.01
09:10:00.435;63;18.5;-18;0.01
09:10:01.435;65;18.5;-18;0.01
09:10:02.435;66;18.5;-18;0.01
09:10:03.435;66;18.4;-18;0.01
09:10:04.435;67;18.4;-18;0.01
09:10:05.435;68;18.4;-18;0.01
09:10:06.435;66;18.4;-18;0.01
09:10:07.435;68;18.7;-18;0.01
09:10:08.435;67;18.7;-18;0.01
09:10:09.435;65;18.6;-18;0.01
09:10:10.435;67;18.6;-18;0.01
09:10:11.435;66;18.8;-18;0.01
09:10:12.435;65;18.8;-18;0.01
09:10:13.435;67;18.8;-18;0.01
09:10:14.435;67;18.8;-18;0.01
09:10:15.435;65;18.7;-18;0.01
09:10:16.435;66;18.7;-18;0.01
09:10:17.435;67;18.9;-18;0.01
09:10:18.435;65;18.9;-18;0.01
09:10:19.435;67;18.8;-18;0.01
09:10:20.435;67;18.8;-18;0.01
09:10:21.435;66;19.0;-18;0.01
09:10:22.435;68;19.0;-18;0.01
09:10:23.435;68;19.2;-18;0.01
09:10:24.435;67;19.2;-18;0.01
09:10:25.435;69;19.1;-18;0.01
09:10:26.435;69;19.1;-18;0.01
09:10:27.435;68;19.0;-18;0.01
09:10:28.435;70;19.0;-18;0.01
09:10:29.435;70;19.2;-18;0.01
09:10:30.435;68;19.2;-18;0.01
09:10:31.435;69;19.1;-18;0.01
09:10:32.435;70;19.1;-18;0.01
09:10:33.435;68;19.3;-18;0.01
09:10:34.435;70;19.3;-18;0.01
09:10:35.435;71;19.4;-18;0.01
09:10:36.435;69;19.4;-18;0.01
09:10:37.435;68;19.3;-18;0.01
09:10:38.435;67;19.3;-18;0.01
09:10:39.435;65;19.5;-18;0.01
09:10:40.435;67;19.5;-18;0.01
09:10:41.435;69;19.6;-18;0.01
09:10:42.435;67;19.6;-18;0.01
09:10:43.435;68;19.5;-18;0.01
09:10:44.435;68;19.5;-18;0.01
09:10:45.435;66;19.6;-18;0.01
09:10:46.435;68;19.6;-18;0.01
09:10:47.435;67;19.7;-18;0.01
09:10:48.435;65;19.7;-18;0.01
09:10:49.435;67;19.6;-18;0.01
09:10:50.435;68;19.6;-18;0.01
09:10:51.435;67;19.7;-18;0.01
09:10:52.435;69;19.7;-18;0.01
09:10:53.435;70;19.8;-18;0.01
09:10:54.435;67;19.8;-18;0.01
09:10:55.435;68;19.7;-18;0.01
09:10:56.435;68;19.7;-18;0.01
09:10:57.435;64;19.8;-18;0.01
09:10:58.435;66;19.8;-18;0.01
09:10:59.435;67;19.9;-18;0.01
09:11:00.435;65;19.9;-18;0.01
09:11:01.435;66;19.7;-18;0.01
09:11:02.435;66;19.7;-18;0.01
09:11:03.435;65;19.5;-18;0.01
09:11:04.435;67;19.5;-18;0.01
09:11:05.435;68;19.4;-18;0.01
09:11:06.435;66;19.4;-18;0.01
09:11:07.435;65;19.0;-18;0.01
09:11:08.435;67;19.0;-18;0.01
09:11:09.435;65;18.9;-18;0.01
09:11:10.435;65;18.9;-18;0.01
09:11:11.435;66;18.8;-18;0.01
09:11:12.435;66;18.8;-18;0.01
09:11:13.435;66;18.4;-18;0.01
09:11:14.435;69;18.4;-18;0.01
09:11:15.435;66;18.4;-18;0.01
09:11:16.435;66;18.4;-18;0.01
09:11:17.435;69;18.4;-18;0.01
09:11:18.435;68;18.4;-18;0.01
09:11:19.435;68;18.0;-18;0.01
09:11:20.435;71;18.0;-18;0.01
09:11:21.435;69;18.0;-18;0.01
09:11:22.435;69;18.0;-18;0.01
09:11:23.435;71;18.3;-18;0.01
09:11:24.435;68;18.3;-18;0.01
09:11:25.435;68;18.3;-18;0.01
09:11:26.435;69;18.3;-18;0.01
09:11:27.435;68;18.6;-18;0.01
09:11:28.435;67;18.6;-18;0.01
09:11:29.435;69;18.8;-18;0.01
09:11:30.435;68;18.8;-18;0.01
09:11:31.435;67;18.7;-18;0.01
09:11:32.435;68;18.7;-18;0.01
09:11:33.435;68;18.9;-18;0.01
09:11:34.435;69;18.9;-18;0.01
09:11:35.435;69;19.1;-18;0.01
09:11:36.435;68;19.1;-18;0.01
09:11:37.435;68;19.0;-18;0.01
09:11:38.435;70;19.0;-18;0.01
09:11:39.435;68;19.2;-18;0.01
09:11:40.435;68;19.2;-18;0.01
09:11:41.435;68;19.4;-18;0.01
09:11:42.435;68;19.4;-18;0.01
09:11:43.435;69;19.3;-18;0.01
09:11:44.435;72;19.3;-18;0.01
09:11:45.435;70;19.4;-18;0.01
09:11:46.435;69;19.4;-18;0.01
09:11:47.435;69;19.6;-18;0.01
09:11:48.435;68;19.6;-18;0.01
09:11:49.435;67;19.4;-18;0.01
09:11:50.435;67;19.4;-18;0.01
09:11:51.435;65;19.6;-18;0.01
09:11:52.435;66;19.6;-18;0.01
09:11:53.435;69;19.7;-18;0.01
09:11:54.435;68;19.7;-18;0.01
09:11:55.435;68;19.6;-18;0.01
09:11:56.435;68;19.6;-18;0.01
09:11:57.435;67;19.7;-17;0.01
09:11:58.435;65;19.7;-18;0.01
09:11:59.435;67;19.8;-18;0.01
09:12:00.435;66;19.8;-18;0.01
09:12:01.435;64;19.6;-18;0.01
09:12:02.435;67;19.6;-18;0.01
09:12:03.435;67;19.8;-17;0.01
09:12:04.435;66;19.8;-18;0.01
09:12:05.435;68;19.6;-18;0.01
09:12:06.435;68;19.6;-18;0.01
09:12:07.435;65;19.4;-18;0.01
09:12:08.435;64;19.4;-18;0.01
09:12:09.435;63;19.6;-18;0.01
09:12:10.435;62;19.6;-18;0.01
09:12:11.435;63;19.4;-18;0.01
09:12:12.435;66;19.4;-18;0.01
09:12:13.435;65;19.3;-18;0.01
09:12:14.435;64;19.3;-18;0.01
09:12:15.435;65;19.5;-18;0.01
09:12:16.435;63;19.5;-18;0.01
09:12:17.435;63;19.3;-18;0.01
09:12:18.435;63;19.3;-18;0.01
09:12:19.435;63;19.2;-18;0.01
09:12:20.435;63;19.2;-18;0.01
09:12:21.435;65;19.1;-18;0.01
09:12:22.435;65;19.1;-18;0.01
09:12:23.435;64;19.0;-18;0.01
09:12:24.435;66;19.0;-18;0.01
09:12:25.435;66;19.2;-17;0.01
09:12:26.435;65;19.2;-18;0.01
09:12:27.435;65;19.1;-18;0.01
09:12:28.435;66;19.1;-18;0.01
09:12:29.435;64;19.0;-18;0.01
09:12:30.435;66;19.0;-18;0.01
09:12:31.435;67;19.2;-18;0.01
09:12:32.435;66;19.2;-18;0.01
09:12:33.435;67;19.1;-18;0.01
09:12:34.435;68;19.1;-18;0.01
09:12:35.435;66;19.0;-18;0.01
09:12:36.435;66;19.0;-18;0.01
09:12:37.435;68;19.2;-18;0.01
09:12:38.435;66;19.2;-18;0.01
09:12:39.435;64;19.1;-18;0.01
09:12:40.435;64;19.1;-18;0.01
09:12:41.435;63;19.2;-18;0.01
09:12:42.435;62;19.2;-18;0.01
09:12:43.435;64;19.4;-18;0.01
09:12:44.435;64;19.4;-18;0.01
09:12:45.435;63;19.3;-18;0.01
09:12:46.435;63;19.3;-18;0.01
09:12:47.435;64;19.4;-18;0.01
09:12:48.435;63;19.4;-18;0.01
09:12:49.435;65;19.3;-18;0.01
09:12:50.435;65;19.3;-18;0.01
09:12:51.435;61;19.2;-18;0.01
09:12:52.435;63;19.2;-18;0.01
09:12:53.435;63;19.4;-18;0.01
09:12:54.435;60;19.4;-18;0.01
09:12:55.435;61;19.5;-18;0.01
09:12:56.435;60;19.5;-18;0.01
09:12:57.435;59;19.4;-18;0.01
09:12:58.435;62;19.4;-18;0.01
09:12:59.435;65;19.5;-18;0.01
09:13:00.435;66;19.5;-18;0.01
09:13:01.435;67;19.4;-18;0.01
09:13:02.435;67;19.4;-18;0.01
09:13:03.435;66;19.2;-18;0.01
09:13:04.435;66;19.2;-18;0.01
09:13:05.435;66;19.4;-18;0.01
09:13:06.435;65;19.4;-18;0.01
09:13:07.435;66;19.3;-18;0.01
09:13:08.435;67;19.3;-18;0.01
09:13:09.435;68;19.4;-18;0.01
09:13:10.435;69;19.4;-18;0.01
09:13:11.435;70;19.6;-18;0.01
09:13:12.435;68;19.6;-18;0.01
09:13:13.435;68;19.4;-18;0.01
09:13:14.435;69;19.4;-18;0.01
09:13:15.435;67;19.3;-18;0.01
09:13:16.435;68;19.3;-18;0.01
09:13:17.435;68;19.5;-18;0.01
09:13:18.435;66;19.5;-18;0.01
09:13:19.435;66;19.3;-18;0.01
09:13:20.435;68;19.3;-18;0.01
09:13:21.435;67;19.5;-18;0.01
09:13:22.435;67;19.5;-18;0.01
09:13:23.435;69;19.6;-18;0.01
09:13:24.435;68;19.6;-18;0.01
09:13:25.435;67;19.5;-18;0.01
09:13:26.435;70;19.5;-18;0.01
09:13:27.435;71;19.6;-18;0.01
09:13:28.435;69;19.6;-18;0.01
09:13:29.435;68;19.5;-18;0.01
09:13:30.435;69;19.5;-18;0.01
09:13:31.435;68;19.3;-18;0.01
09:13:32.435;67;19.3;-18;0.01
09:13:33.435;67;19.5;-18;0.01
09:13:34.435;67;19.5;-18;0.01
09:13:35.435;66;19.4;-18;0.01
09:13:36.435;69;19.4;-18;0.01
09:13:37.435;69;19.2;-18;0.01
09:13:38.435;67;19.2;-18;0.01
09:13:39.435;69;19.1;-18;0.01
09:13:40.435;70;19.1;-18;0.01
09:13:41.435;69;19.0;-18;0.01
09:13:42.435;69;19.0;-18;0.01
09:13:43.435;71;18.9;-18;0.01
09:13:44.435;69;18.9;-18;0.01
09:13:45.435;68;18.8;-18;0.01
09:13:46.435;69;18.8;-18;0.01
09:13:47.435;67;18.7;-18;0.01
09:13:48.435;67;18.7;-18;0.01
09:13:49.435;68;19.0;-18;0.01
09:13:50.435;67;19.0;-18;0.01
09:13:51.435;68;18.9;-18;0.01
09:13:52.435;70;18.9;-18;0.01
09:13:53.435;67;18.8;-18;0.01
09:13:54.435;68;18.8;-18;0.01
09:13:55.435;68;19.0;-18;0.01
09:13:56.435;68;19.0;-18;0.01
09:13:57.435;68;18.9;-18;0.01
09:13:58.435;69;18.9;-18;0.01
09:13:59.435;67;19.1;-18;0.01
09:14:00.435;65;19.1;-18;0.01
09:14:01.435;66;19.3;-18;0.01
09:14:02.435;65;19.3;-18;0.01
09:14:03.435;65;19.2;-18;0.01
09:14:04.435;67;19.2;-18;0.01
09:14:05.435;67;19.4;-18;0.01
09:14:06.435;66;19.4;-18;0.01
09:14:07.435;67;19.2;-18;0.01
09:14:08.435;67;19.2;-18;0.01
09:14:09.435;66;19.1;-18;0.01
09:14:10.435;68;19.1;-18;0.01
09:14:11.435;67;19.3;-18;0.01
09:14:12.435;66;19.3;-18;0.01
09:14:13.435;68;19.2;-18;0.01
09:14:14.435;68;19.2;-18;0.01
09:14:15.435;66;19.1;-18;0.01
09:14:16.435;66;19.1;-18;0.01
09:14:17.435;67;19.3;-18;0.01
09:14:18.435;65;19.3;-18;0.01
09:14:19.435;67;19.1;-18;0.01
09:14:20.435;68;19.1;-18;0.01
09:14:21.435;66;19.0;-18;0.01
09:14:22.435;67;19.0;-18;0.01
09:14:23.435;67;19.2;-18;0.01
09:14:24.435;66;19.2;-18;0.01
09:14:25.435;66;19.1;-18;0.01
09:14:26.435;67;19.1;-18;0.01
09:14:27.435;66;19.3;-18;0.01
09:14:28.435;68;19.3;-18;0.01
09:14:29.435;69;19.5;-18;0.01
09:14:30.435;67;19.5;-18;0.01
09:14:31.435;68;19.3;-18;0.01
09:14:32.435;67;19.3;-18;0.01
09:14:33.435;66;19.5;-18;0.01
09:14:34.435;67;19.5;-18;0.01
09:14:35.435;69;19.6;-18;0.01
09:14:36.435;68;19.6;-18;0.01
09:14:37.435;70;19.5;-18;0.01
09:14:38.435;70;19.5;-18;0.01
09:14:39.435;68;19.6;-18;0.01
09:14:40.435;68;19.6;-18;0.01
09:14:41.435;69;19.7;-18;0.01
09:14:42.435;66;19.7;-18;0.01
09:14:43.435;66;19.6;-18;0.01
09:14:44.435;68;19.6;-18;0.01
09:14:45.435;68;19.7;-18;0.01
09:14:46.435;68;19.7;-18;0.01
09:14:47.435;69;19.8;-18;0.01
09:14:48.435;69;19.8;-18;0.01
09:14:49.435;70;19.7;-18;0.01
09:14:50.435;71;19.7;-18;0.01
09:14:51.435;69;19.8;-18;0.01
09:14:52.435;70;19.8;-18;0.01
09:14:53.435;72;19.9;-17;0.01
09:14:54.435;71;19.9;-18;0.01
09:14:55.435;72;19.7;-17;0.01
09:14:56.435;74;19.7;-18;0.01
09:14:57.435;72;19.8;-18;0.01
09:14:58.435;71;19.8;-17;0.01
09:14:59.435;71;19.9;-18;0.01
09:15:00.435;70;19.9;-18;0.01
09:15:01.435;68;19.8;-17;0.01
09:15:02.435;69;19.8;-17;0.01
09:15:03.435;66;19.9;-18;0.01
09:15:04.435;64;19.9;-17;0.01
09:15:05.435;67;20.0;-17;0.01
09:15:06.435;67;20.0;-18;0.01
09:15:07.435;67;19.8;-18;0.01
09:15:08.435;70;19.8;-17;0.01
09:15:09.435;69;19.9;-17;0.01
09:15:10.435;65;19.9;-17;0.01
09:15:11.435;67;20.0;-18;0.01
09:15:12.435;67;20.0;-17;0.01
09:15:13.435;64;19.8;-17;0.01
09:15:14.435;66;19.8;-17;0.01
09:15:15.435;66;19.9;-17;0.01
09:15:16.435;67;19.9;-17;0.01
09:15:17.435;69;20.0;-17;0.01
09:15:18.435;66;20.0;-17;0.01
09:15:19.435;67;19.8;-18;0.01
09:15:20.435;67;19.8;-18;0.01
09:15:21.435;64;19.9;-18;0.01
09:15:22.435;66;19.9;-18;0.01
09:15:23.435;67;20.0;-18;0.01
09:15:24.435;65;20.0;-17;0.01
09:15:25.435;65;19.8;-18;0.01
09:15:26.435;65;19.8;-17;0.01
09:15:27.435;64;19.9;-17;0.01
09:15:28.435;66;19.9;-18;0.01
09:15:29.435;68;20.0;-18;0.01
09:15:30.435;67;20.0;-17;0.01
09:15:31.435;71;19.8;-17;0.01
09:15:32.435;75;19.8;-17;0.01
09:15:33.435;77;19.7;-17;0.01
09:15:34.435;80;19.7;-18;0.01
09:15:35.435;80;19.8;-17;0.01
09:15:36.435;78;19.8;-17;0.01
09:15:37.435;77;19.6;-17;0.01
09:15:38.435;76;19.6;-17;0.01
09:15:39.435;73;19.8;-17;0.01
09:15:40.435;74;19.8;-17;0.01
09:15:41.435;73;19.9;-17;0.01
09:15:42.435;71;19.9;-17;0.01
09:15:43.435;73;19.7;-17;0.01
09:15:44.435;73;19.7;-17;0.01
09:15:45.435;71;19.8;-17;0.01
09:15:46.435;67;19.8;-17;0.01
09:15:47.435;69;19.6;-17;0.01
09:15:48.435;69;19.6;-17;0.01
09:15:49.435;67;19.5;-17;0.01
09:15:50.435;68;19.5;-17;0.01
09:15:51.435;68;19.6;-17;0.01
09:15:52.435;66;19.6;-17;0.01
09:15:53.435;65;19.8;-17;0.01
09:15:54.435;66;19.8;-17;0.01
09:15:55.435;65;19.6;-17;0.01
09:15:56.435;63;19.6;-17;0.01
09:15:57.435;67;19.4;-17;0.01
09:15:58.435;69;19.4;-17;0.01
09:15:59.435;67;19.3;-17;0.01
09:16:00.435;66;19.3;-17;0.01
09:16:01.435;65;19.2;-17;0.01
09:16:02.435;64;19.2;-17;0.01
09:16:03.435;64;19.1;-17;0.01
09:16:04.435;65;19.1;-17;0.01
09:16:05.435;63;19.0;-17;0.01
09:16:06.435;62;19.0;-17;0.01
09:16:07.435;64;18.9;-17;0.01
09:16:08.435;65;18.9;-17;0.01
09:16:09.435;64;18.8;-17;0.01
09:16:10.435;66;18.8;-17;0.01
09:16:11.435;66;18.7;-17;0.01
09:16:12.435;64;18.7;-17;0.01
09:16:13.435;63;18.7;-17;0.01
09:16:14.435;66;18.7;-17;0.01
09:16:15.435;64;18.6;-17;0.01
09:16:16.435;64;18.6;-17;0.01
09:16:17.435;65;18.8;-17;0.01
09:16:18.435;65;18.8;-17;0.01
09:16:19.435;66;18.8;-17;0.01
09:16:20.435;67;18.8;-17;0.01
09:16:21.435;66;18.7;-17;0.01
09:16:22.435;66;18.7;-17;0.01
09:16:23.435;68;18.9;-17;0.01
09:16:24.435;66;18.9;-17;0.01
09:16:25.435;64;18.8;-17;0.01
09:16:26.435;66;18.8;-17;0.01
09:16:27.435;66;19.0;-17;0.01
09:16:28.435;66;19.0;-17;0.01
09:16:29.435;68;18.9;-17;0.01
09:16:30.435;67;18.9;-17;0.01
09:16:31.435;65;18.8;-17;0.01
09:16:32.435;67;18.8;-17;0.01
09:16:33.435;67;19.1;-17;0.01
09:16:34.435;65;19.1;-17;0.01
09:16:35.435;66;19.0;-17;0.01
09:16:36.435;68;19.0;-17;0.01
09:16:37.435;72;19.2;-17;0.04
09:16:38.435;78;19.2;-13;0.11
09:16:39.435;83;19.6;-10;0.09
09:16:40.435;86;19.6;-12;0.09
09:16:41.435;84;19.8;-15;0.06
09:16:42.435;82;19.8;-15;0.03
09:16:43.435;80;19.6;-15;0.02
09:16:44.435;75;19.6;-15;0.01
09:16:45.435;74;19.4;-16;0.02
09:16:46.435;75;19.4;-15;0.01
09:16:47.435;76;19.0;-15;0.02
09:16:48.435;77;19.0;-15;0.02
09:16:49.435;81;18.6;-13;0.05
09:16:50.435;85;18.6;-14;0.03
09:16:51.435;90;17.9;-14;0.02
09:16:52.435;93;17.9;-15;0.02
09:16:53.435;87;17.4;-15;0.02
09:16:54.435;86;17.4;-15;0.01
09:16:55.435;89;17.1;-14;0.03
09:16:56.435;93;17.1;-14;0.02
09:16:57.435;96;16.6;-17;0.11
09:16:58.435;99;16.6;-19;0.08
09:16:59.435;101;16.2;-20;0.06
09:17:00.435;100;16.2;-19;0.07
09:17:01.435;97;15.7;-19;0.04
09:17:02.435;96;15.7;-20;0.02
09:17:03.435;96;15.7;-19;0.11
09:17:04.435;96;15.7;-20;0.15
09:17:05.435;97;15.9;-19;0.10
09:17:06.435;96;15.9;-15;0.18
09:17:07.435;94;16.4;-16;0.08
09:17:08.435;96;16.4;-16;0.04
09:17:09.435;98;16.9;-17;0.03
09:17:10.435;101;16.9;-17;0.02
09:17:11.435;104;17.3;-17;0.03
09:17:12.435;105;17.3;-18;0.03
09:17:13.435;106;17.3;-20;0.06
09:17:14.435;106;17.3;-20;0.04
09:17:15.435;101;17.4;-20;0.03
09:17:16.435;98;17.4;-21;0.04
09:17:17.435;95;17.5;-19;0.06
09:17:18.435;94;17.5;-19;0.04
09:17:19.435;94;17.5;-17;0.07
09:17:20.435;95;17.5;-17;0.05
09:17:21.435;96;17.6;-17;0.04
09:17:22.435;94;17.6;-18;0.04
09:17:23.435;92;17.6;-18;0.06
09:17:24.435;89;17.6;-17;0.04
09:17:25.435;86;17.6;-17;0.05
09:17:26.435;81;17.6;-15;0.03
09:17:27.435;77;17.4;-15;0.03
09:17:28.435;74;17.4;-14;0.03
09:17:29.435;73;17.4;-14;0.03
09:17:30.435;73;17.4;-15;0.07
09:17:31.435;75;17.5;-14;0.06
09:17:32.435;78;17.5;-12;0.21
09:17:33.435;84;17.8;-12;0.11
09:17:34.435;89;17.8;-14;0.09
09:17:35.435;90;18.4;-18;0.09
09:17:36.435;88;18.4;-21;0.09
09:17:37.435;85;18.7;-16;0.21
09:17:38.435;88;18.7;-15;0.14
09:17:39.435;91;19.2;-14;0.05
09:17:40.435;93;19.2;-14;0.06
09:17:41.435;94;19.7;-13;0.05
09:17:42.435;93;19.7;-12;0.05
09:17:43.435;90;20.1;-11;0.05
09:17:44.435;89;20.1;-10;0.07
09:17:45.435;92;20.2;-8;0.14
09:17:46.435;95;20.2;-4;0.12
09:17:47.435;96;20.6;-7;0.10
09:17:48.435;94;20.6;-8;0.08
09:17:49.435;92;20.6;-10;0.07
09:17:50.435;91;20.6;-12;0.07
09:17:51.435;91;20.7;-14;0.09
09:17:52.435;93;20.7;-15;0.04
09:17:53.435;94;20.4;-16;0.04
09:17:54.435;93;20.4;-15;0.03
09:17:55.435;90;19.9;-15;0.04
09:17:56.435;88;19.9;-14;0.05
09:17:57.435;87;19.4;-14;0.04
09:17:58.435;87;19.4;-12;0.07
09:17:59.435;85;18.7;-11;0.09
09:18:00.435;84;18.7;-11;0.03
09:18:01.435;82;18.3;-10;0.07
09:18:02.435;83;18.3;-5;0.16
09:18:03.435;84;18.0;-6;0.06
09:18:04.435;83;18.0;-10;0.09
09:18:05.435;85;17.7;-10;0.06
09:18:06.435;86;17.7;-8;0.07
09:18:07.435;87;17.1;-10;0.09
09:18:08.435;88;17.1;-14;0.16
09:18:09.435;89;17.2;-18;0.17
09:18:10.435;87;17.2;-20;0.07
09:18:11.435;88;17.3;-20;0.07
09:18:12.435;90;17.3;-18;0.10
09:18:13.435;90;17.4;-19;0.06
09:18:14.435;87;17.4;-18;0.09
09:18:15.435;86;17.1;-18;0.10
09:18:16.435;83;17.1;-17;0.07
09:18:17.435;83;17.5;-15;0.09
09:18:18.435;83;17.5;-15;0.06
09:18:19.435;83;17.6;-15;0.07
09:18:20.435;83;17.6;-15;0.06
09:18:21.435;82;17.6;-14;0.05
09:18:22.435;80;17.6;-14;0.07
09:18:23.435;82;17.3;-13;0.08
09:18:24.435;84;17.3;-9;0.11
09:18:25.435;84;17.4;-7;0.10
09:18:26.435;83;17.4;-10;0.09
09:18:27.435;80;17.8;-11;0.06
09:18:28.435;82;17.8;-10;0.05
09:18:29.435;85;17.5;-12;0.04
09:18:30.435;82;17.5;-13;0.03
09:18:31.435;80;17.5;-13;0.02
09:18:32.435;77;17.5;-16;0.06
09:18:33.435;79;17.9;-17;0.12
09:18:34.435;80;17.9;-14;0.14
09:18:35.435;81;18.5;-14;0.06
09:18:36.435;83;18.5;-14;0.10
09:18:37.435;86;18.7;-15;0.09
09:18:38.435;89;18.7;-15;0.09
09:18:39.435;88;19.6;-15;0.09
09:18:40.435;87;19.6;-18;0.14
09:18:41.435;86;20.3;-20;0.15
09:18:42.435;85;20.3;-19;0.11
09:18:43.435;84;21.3;-19;0.12
09:18:44.435;84;21.3;-18;0.06
09:18:45.435;82;22.1;-18;0.07
09:18:46.435;83;22.1;-17;0.03
09:18:47.435;84;22.9;-17;0.04
09:18:48.435;86;22.9;-17;0.03
